# El residuo de 5: anatomia y simetrias extendidas.
# clave	valor	nota
f1.orbita.16.pares.dentro.de.un.mismo.par.de.KW	0	
f1.orbita.17.A1.pares.con.el.mismo.nuclear	0	
f1.orbita.17.A2.pares.dentro.de.una.misma.mitad	4	
f1.orbita.17.pares.dentro.de.un.mismo.par.de.KW	4	
f1.orbita.18.A1.pares.con.el.mismo.nuclear	0	
f1.orbita.18.A2.pares.dentro.de.una.misma.mitad	4	
f1.orbita.18.pares.dentro.de.un.mismo.par.de.KW	4	
f2.A1.pares.cuyos.dos.miembros.comparten.nuclear	4	de 32
f2.A1.aporta.biyeccion	0	la operacion nuclear no es biyectiva, declarado en la fase 0
f2.A1.imagenes.nucleares.distintas	16	
f2.A1.la.particion.nuclear.refina.o.cruza.los.pares	4	cuantos pares caen enteros en una fibra
f2.A2.el.corte.respeta.los.pares	1	ningun par cruza la frontera
f2.A2.aporta.biyeccion	0	las mitades son de 30 y 34, declarado en la fase 0
f2.A3.respeta.el.sistema.de.pares	1	
f2.A3.es.afin	0	cero quiere decir que esta fuera de B6
f2.A3.orden.del.grupo.generado	mas de 200000	tope declarado de 200000; ver la advertencia de la fase 0
f2.A3.pasa.del.tope.declarado	1	si vale uno, el grupo es grande y sin estructura y no cuenta como hallazgo
f2.A3.los.generadores.respetan.los.pares	1	
f2.A3.orbitas	2	
f2.A3.orbitas.libres	2	
f2.A3.intervalo.minimo	1003	
f2.A3.intervalo.maximo	1013	
f2.A3.anchura	10	
f2.A3.empate.alcanzable	0	
f2.A3.reduce.las.orbitas.libres	1	
f2.A3.estrecha.el.intervalo	1	
f2.A3.fuerza	0	
f2.A3.el.observado.no.cambia	1	cambiar el grupo no cambia la secuencia ni su recuento
f2.A4.respeta.el.sistema.de.pares	1	
f2.A4.es.afin	0	cero quiere decir que esta fuera de B6
f2.A4.orden.del.grupo.generado	mas de 200000	tope declarado de 200000; ver la advertencia de la fase 0
f2.A4.pasa.del.tope.declarado	1	si vale uno, el grupo es grande y sin estructura y no cuenta como hallazgo
f2.A4.los.generadores.respetan.los.pares	1	
f2.A4.orbitas	2	
f2.A4.orbitas.libres	2	
f2.A4.intervalo.minimo	1003	
f2.A4.intervalo.maximo	1013	
f2.A4.anchura	10	
f2.A4.empate.alcanzable	0	
f2.A4.reduce.las.orbitas.libres	1	
f2.A4.estrecha.el.intervalo	1	
f2.A4.fuerza	0	
f2.A4.el.observado.no.cambia	1	cambiar el grupo no cambia la secuencia ni su recuento
f2.A5.respeta.el.sistema.de.pares	1	
f2.A5.es.afin	0	cero quiere decir que esta fuera de B6
f2.A5.orden.del.grupo.generado	768	tope declarado de 200000; ver la advertencia de la fase 0
f2.A5.pasa.del.tope.declarado	0	si vale uno, el grupo es grande y sin estructura y no cuenta como hallazgo
f2.A5.los.generadores.respetan.los.pares	1	
f2.A5.orbitas	34	
f2.A5.orbitas.libres	17	
f2.A5.intervalo.minimo	961	
f2.A5.intervalo.maximo	1055	
f2.A5.anchura	94	
f2.A5.empate.alcanzable	0	
f2.A5.reduce.las.orbitas.libres	1	
f2.A5.estrecha.el.intervalo	1	
f2.A5.fuerza	0	
f2.A5.el.observado.no.cambia	1	cambiar el grupo no cambia la secuencia ni su recuento
f2.A3+A4+A5.respeta.el.sistema.de.pares	1	
f2.A3+A4+A5.es.afin	0	cero quiere decir que esta fuera de B6
f2.A3+A4+A5.orden.del.grupo.generado	mas de 200000	tope declarado de 200000; ver la advertencia de la fase 0
f2.A3+A4+A5.pasa.del.tope.declarado	1	si vale uno, el grupo es grande y sin estructura y no cuenta como hallazgo
f2.A3+A4+A5.los.generadores.respetan.los.pares	1	
f2.A3+A4+A5.orbitas	2	
f2.A3+A4+A5.orbitas.libres	2	
f2.A3+A4+A5.intervalo.minimo	1003	
f2.A3+A4+A5.intervalo.maximo	1013	
f2.A3+A4+A5.anchura	10	
f2.A3+A4+A5.empate.alcanzable	0	
f2.A3+A4+A5.reduce.las.orbitas.libres	1	
f2.A3+A4+A5.estrecha.el.intervalo	1	
f2.A3+A4+A5.fuerza	0	
f2.A3+A4+A5.el.observado.no.cambia	1	cambiar el grupo no cambia la secuencia ni su recuento
