# Cada linea es una cifra medida en esta ejecucion.
# clave	valor	nota
fuente.commit	d6afae20bbefba56728251f34f8e3870c43e2cbd	sin cambios respecto del commit de la medicion
cuenta.solo.complementacion.JingFang.alcanzable_mas_cercano_al_esperado	1008	
cuenta.solo.complementacion.JingFang.desviacion_minima_posible	0	
cuenta.solo.complementacion.JingFang.fuerza.el.empate	0	criterio declarado: minimo y maximo coinciden en el valor esperado
cuenta.solo.complementacion.JingFang.comprobacion.epsilon	4032	comprobaciones par por elemento, sobre 2 elementos del grupo de 2
cuenta.R1.JingFang.orbitas	280	
cuenta.R1.JingFang.orbitas_forzadas	280	
cuenta.R1.JingFang.orbitas_libres	0	
cuenta.R1.JingFang.orbitas_de_tamano_impar	0	
cuenta.R1.JingFang.aportacion_forzada	1008	
cuenta.R1.JingFang.aportacion_libre_observada	0	
cuenta.R1.JingFang.minimo	1008	
cuenta.R1.JingFang.maximo	1008	
cuenta.R1.JingFang.observado	1008	
cuenta.R1.JingFang.anchura	0	
cuenta.R1.JingFang.orbita_mayor	8	
cuenta.R1.JingFang.totales_alcanzables	1	
cuenta.R1.JingFang.esperado_alcanzable	1	
cuenta.R1.JingFang.paridades_alcanzables	1	
cuenta.R1.JingFang.paridad_forzada	0	
cuenta.R1.JingFang.alcanzable_mas_cercano_al_esperado	1008	
cuenta.R1.JingFang.desviacion_minima_posible	0	
cuenta.R1.JingFang.fuerza.el.empate	1	criterio declarado: minimo y maximo coinciden en el valor esperado
cuenta.R1.JingFang.comprobacion.epsilon	16128	comprobaciones par por elemento, sobre 8 elementos del grupo de 8
cuenta.R2.JingFang.orbitas	280	
cuenta.R2.JingFang.orbitas_forzadas	280	
cuenta.R2.JingFang.orbitas_libres	0	
cuenta.R2.JingFang.orbitas_de_tamano_impar	0	
cuenta.R2.JingFang.aportacion_forzada	1008	
cuenta.R2.JingFang.aportacion_libre_observada	0	
cuenta.R2.JingFang.minimo	1008	
cuenta.R2.JingFang.maximo	1008	
cuenta.R2.JingFang.observado	1008	
cuenta.R2.JingFang.anchura	0	
cuenta.R2.JingFang.orbita_mayor	8	
cuenta.R2.JingFang.totales_alcanzables	1	
cuenta.R2.JingFang.esperado_alcanzable	1	
cuenta.R2.JingFang.paridades_alcanzables	1	
cuenta.R2.JingFang.paridad_forzada	0	
cuenta.R2.JingFang.alcanzable_mas_cercano_al_esperado	1008	
cuenta.R2.JingFang.desviacion_minima_posible	0	
cuenta.R2.JingFang.fuerza.el.empate	1	criterio declarado: minimo y maximo coinciden en el valor esperado
cuenta.R2.JingFang.comprobacion.epsilon	16128	comprobaciones par por elemento, sobre 8 elementos del grupo de 8
cuenta.solo.complementacion.KingWen.orbitas	1024	
cuenta.solo.complementacion.KingWen.orbitas_forzadas	687	
cuenta.solo.complementacion.KingWen.orbitas_libres	337	
cuenta.solo.complementacion.KingWen.orbitas_de_tamano_impar	32	
cuenta.solo.complementacion.KingWen.aportacion_forzada	687	
cuenta.solo.complementacion.KingWen.aportacion_libre_observada	326	
cuenta.solo.complementacion.KingWen.minimo	687	
cuenta.solo.complementacion.KingWen.maximo	1329	
cuenta.solo.complementacion.KingWen.observado	1013	
cuenta.solo.complementacion.KingWen.anchura	642	
cuenta.solo.complementacion.KingWen.orbita_mayor	2	
cuenta.solo.complementacion.KingWen.totales_alcanzables	643	
cuenta.solo.complementacion.KingWen.esperado_alcanzable	1	
cuenta.solo.complementacion.KingWen.paridades_alcanzables	2	
cuenta.solo.complementacion.KingWen.paridad_forzada	1	
cuenta.solo.complementacion.KingWen.alcanzable_mas_cercano_al_esperado	1008	
cuenta.solo.complementacion.KingWen.desviacion_minima_posible	0	
cuenta.solo.complementacion.KingWen.fuerza.el.empate	0	criterio declarado: minimo y maximo coinciden en el valor esperado
cuenta.solo.complementacion.KingWen.comprobacion.epsilon	4032	comprobaciones par por elemento, sobre 2 elementos del grupo de 2
cuenta.R1.KingWen.orbitas	36	
cuenta.R1.KingWen.orbitas_forzadas	17	
cuenta.R1.KingWen.orbitas_libres	19	
cuenta.R1.KingWen.orbitas_de_tamano_impar	0	
cuenta.R1.KingWen.aportacion_forzada	374	
cuenta.R1.KingWen.aportacion_libre_observada	639	
cuenta.R1.KingWen.minimo	957	
cuenta.R1.KingWen.maximo	1059	
cuenta.R1.KingWen.observado	1013	
cuenta.R1.KingWen.anchura	102	
cuenta.R1.KingWen.orbita_mayor	192	
cuenta.R1.KingWen.totales_alcanzables	52	
cuenta.R1.KingWen.esperado_alcanzable	0	
cuenta.R1.KingWen.paridades_alcanzables	1	
cuenta.R1.KingWen.paridad_forzada	1	
cuenta.R1.KingWen.alcanzable_mas_cercano_al_esperado	1007	
cuenta.R1.KingWen.desviacion_minima_posible	1	
cuenta.R1.KingWen.fuerza.el.empate	0	criterio declarado: minimo y maximo coinciden en el valor esperado
cuenta.R1.KingWen.comprobacion.epsilon	774144	comprobaciones par por elemento, sobre 384 elementos del grupo de 384
cuenta.R2.KingWen.orbitas	2016	
cuenta.R2.KingWen.orbitas_forzadas	0	
cuenta.R2.KingWen.orbitas_libres	2016	
cuenta.R2.KingWen.orbitas_de_tamano_impar	2016	
cuenta.R2.KingWen.aportacion_forzada	0	
cuenta.R2.KingWen.aportacion_libre_observada	1013	
cuenta.R2.KingWen.minimo	0	
cuenta.R2.KingWen.maximo	2016	
cuenta.R2.KingWen.observado	1013	
cuenta.R2.KingWen.anchura	2016	
cuenta.R2.KingWen.orbita_mayor	1	
cuenta.R2.KingWen.totales_alcanzables	2017	
cuenta.R2.KingWen.esperado_alcanzable	1	
cuenta.R2.KingWen.paridades_alcanzables	2	
cuenta.R2.KingWen.paridad_forzada	0	
